Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession
GCA_014898285.1	ASM1489828v1	Botrytis aclada		633					Annotation submitted by Wageningen University	48314413	Contig	2020-10-20	RCSV01
GCA_023079495.1	XE	Xylaria sp. L1 SY-2022		L1 SY-2022						36604648	Contig	2022-04-21	JALIDW01
GCA_029844175.1	Th0179	Trichoderma sp. CBMAI-0179		CBMAI-0179						39170259	Contig	2023-04-19	JAJNCJ01
GCA_021020635.1	ASM2102063v1	Fusarium sp. PT		PT						40579610	Contig	2021-12-01	JAHMRZ01
GCA_006538405.1	Dp_01	Hansfordia pulvinata		414-3						46845581	Contig	2019-05-24	BJKQ01
GCA_028637585.1	ASM2863758v1	Xylariaceae sp. X187		X187						39640914	Contig	2023-02-14	JAJIZN01
GCA_024336345.1	MarPMI226	Mariannaea sp. PMI_226		PMI_226					Annotation submitted by DOE Joint Genome Institute	42252145	Contig	2022-07-20	JANFOG01
GCA_016508685.1	ASM1650868v1	Cytospora piceae		CFCC52841						39248550	Contig	2021-01-05	JADMLE01
GCA_026119515.1	ASM2611951v1	Ascochyta koolunga		KIN-16-703						56068377	Scaffold	2022-11-10	JANLCG01
GCA_024478385.1	BOTELL_9401_1	Botrytis elliptica		Be9401						49771809	Contig	2022-07-28	JANCTG01
GCA_013138035.1	ASM1313803v1	Penicillium sp. str. #12		#12					Annotation submitted by None	37990757	Contig	2020-05-21	JAASRZ01
GCA_005356885.1	ASM535688v1	Cercospora cf. flagellaris		Arck_07						33240740	Scaffold	2019-05-14	RJLU01
GCA_900642975.1	sapSuaA	Saprochaete suaveolens								24414705	Contig	2019-02-06	CAAAMA01
GCA_030868995.1	CMEL01	Colletotrichum melonis					Col 31		Annotation submitted by University of Western Brittany	50135825	Scaffold	2023-08-24	MLGG01
GCA_019702505.1	ASM1970250v1	Alternaria panax		BNCC115425					Annotation submitted by Anhui Agricultural University	34756390	Scaffold	2021-08-20	JAANER01
GCA_022023595.1	ASM2202359v1	[Candida] thailandica		CBS 10610						16310147	Contig	2022-02-07	JAKKCY01
GCA_037356495.1	NIH_F51_1.1	Penicillium sp. F51		F51						32984314	Contig	2024-03-19	JAYXSB01
GCA_029531795.1	NWAFU_SnTB1_1.0	Sclerotinia nivalis		SnTB1					Annotation submitted by Northwest A&F University	50198487	Contig	2023-04-06	JAPEIS01
GCA_902805455.1	DC	Daldinia concentrica		CBS 113277						37605921	Contig	2020-04-25	CADCSW01
GCA_037356195.1	NIH_F50_1.1	Penicillium sp. F50		F50						33024260	Scaffold	2024-03-19	JAYXSA01
GCA_020726505.1	Lepor2	Leptodontidium sp. MPI-SDFR-AT-0119		MPI-SDFR-AT-0119					Annotation submitted by DOE Joint Genome Institute	77016750	Contig	2021-10-29	JAHLEZ01
GCA_009194965.1	Conioc1	Coniochaeta sp. 2T2.1		2T2.1					Annotation submitted by DOE Joint Genome Institute	74351065	Contig	2019-10-15	VSMA01
GCA_025389075.1	ASM2538907v1	Sclerotinia minor					SM1			40033734	Contig	2022-09-23	QRFH01
GCA_026119265.1	ASM2611926v1	Didymella pinodes		SLK-17-353						34503144	Scaffold	2022-11-10	JANLBY01
GCA_029783965.1	RDWU_Aporii_p.ctg	Alternaria porri					Apn-Nashik			32989564	Contig	2023-04-17	JAPZQB01
GCA_031472005.1	ASM3147200v1	Tetracladium setigerum		NNIBRFG1997						39220606	Scaffold	2023-09-14	PZJY01
GCA_036712075.1	ASM3671207v1	Penicillium sp. DT28		DT28						23419689	Scaffold	2024-02-20	JAZHLO01
GCA_902806595.1	PH	Pyrenopolyporus hunteri		MUCL 49339						40356773	Contig	2020-04-25	CADCXC01
GCA_024606205.1	ASM2460620v1	Alternaria sp. SPS-2		SPS-2						33400178	Contig	2022-08-09	JAMXIG01
GCA_037356135.1	NIH_F31_1.1	Talaromyces sp. F31		F31						34784245	Scaffold	2024-03-19	JAYXSF01
GCA_017309325.2	ASM1730932v2	Elsinoe batatas		CRI-CJ2					Annotation submitted by Crop Research Institute, Guangdong Academy of Agricultural Sciences	26493939	Contig	2021-08-12	JAESVG02
GCA_028028555.1	ASM2802855v1	Pseudopestalotiopsis chinensis		AH-3-21*						51217406	Contig	2023-01-26	JAPTGH01
GCA_014898425.1	ASM1489842v1	Botryotinia globosa		MUCL 444					Annotation submitted by Wageningen University	45684854	Contig	2020-10-20	RCSZ01
GCA_036872755.1	ASM3687275v1	Orbilia blumenaviensis		TWF730					Annotation submitted by Academia Sinica	42458278	Contig	2024-02-26	JAVHNS01
GCA_030015385.1	UAEM_Trichotla_1.0	Trichoderma sp. BMH-0061		BMH-0061						39856242	Scaffold	2023-05-15	JARWZN01
GCA_037044635.1	ASM3704463v1	Martiniozyma asiatica		MA-8					Annotation submitted by Uemura Lab, Graduate School of Biostudies, Kyoto University	10948828	Scaffold	2023-12-26	BTFY01
GCA_020746875.1	Rhesp1	Rhexocercosporidium sp. MPI-PUGE-AT-0058		MPI-PUGE-AT-0058					Annotation submitted by DOE Joint Genome Institute	62745254	Contig	2021-11-05	JAGTJL01
GCA_009805535.1	ASM980553v1	Laburnicola sp. JP-R-44		JP-R-44						61456043	Scaffold	2019-12-27	SELF01
GCA_023158955.1	ASM2315895v1	Clavispora sp. NYNU 174173		NYNU 174173						15305418	Contig	2022-04-27	JAHWDG01
GCA_008122225.1	ASM812222v1	Ciboria shiraiana		LR-318						39144485	Contig	2019-08-29	VNFM01
GCA_037356175.1	NIH_C7_1.1	Penicillium sp. C7(2024)		C7(2024)						32299038	Contig	2024-03-19	JAYXSD01
GCA_023213015.1	ASM2321301v1	Komagataella mondaviorum		CBS 15017						9391884	Contig	2022-05-02	JAKWBA01
GCA_037074905.1	ASM3707490v1	Penicillium sp. MYA5		MYA5						32800485	Contig	2024-03-08	JAYRCP01
GCA_037042185.1	ASM3704218v1	Botryosphaeria sp. S80-01Y		S80-01Y						30910167	Scaffold	2024-03-06	JAXQJY01
GCA_037102585.1	ASM3710258v1	Saccharomycopsis crataegensis		SC-9					Annotation submitted by Uemura Lab, Graduate School of Biostudies, Kyoto University	17100033	Scaffold	2023-12-26	BTFZ01
GCA_026873275.1	ASM2687327v1	Pseudopithomyces maydicus		SBW1						39434212	Contig	2022-12-14	JANTUC01
GCA_022432365.1	HyFL1284_2	Hypoxylon sp. FL1284		FL1284					Annotation submitted by DOE Joint Genome Institute	37089996	Contig	2022-03-01	JAJJXE01
GCA_907166805.1	ALTATR162	Alternaria atra					CS162		Annotation submitted by TECHNICAL UNIVERSITY MUNICH	39606256	Scaffold	2021-05-15	CAJRGZ01
GCF_907166805.1	ALTATR162	Alternaria atra					CS162		Annotation submitted by TECHNICAL UNIVERSITY MUNICH	39606256	Scaffold	2021-05-15	CAJRGZ01
GCA_036872675.1	ASM3687267v1	Lithohypha guttulata		CCFEE 5908					Annotation submitted by Shed LighT in the daRk lineagES of the Fungal tree of life (STRES)	24440621	Scaffold	2024-02-26	JAVRRI01
GCA_020744155.1	Ilyeu1	Ilyonectria sp. MPI-CAGE-AT-0026		MPI-CAGE-AT-0026					Annotation submitted by DOE Joint Genome Institute	62828295	Contig	2021-11-04	JAGPNQ01
GCA_036562085.1	ASM3656208v1	Bipolaris sp. L1-2		L1-2						35850567	Contig	2024-02-12	JANTPY01
GCA_030142105.1	ASM3014210v1	Fusarium sp. FL617		FL617						45990927	Contig	2023-05-31	JAREIL01
GCA_036971655.1	TWF281	Arthrobotrys megalospora		TWF281					Annotation submitted by Academia Sinica	37933658	Contig	2024-03-04	JAVHJN01
GCA_023313575.1	ASM2331357v1	Eutypella sp. D-1		D-1						48628978	Contig	2022-05-10	JAJTTP01
GCA_003415645.1	ASM341564v1	Articulospora tetracladia		NNIBRFG329						41846809	Scaffold	2018-08-22	PYIV01
GCA_030412615.1	ASM3041261v1	Dothioraceae sp. JAF-11		JAF-11						27233526	Contig	2023-07-07	JASVWA01
GCA_027559495.1	ASM2755949v1	Aurifilum marmelostoma		BCRC FU30571						39781510	Contig	2023-01-03	JAMXSV01
GCA_023184675.1	ASM2318467v1	Umbilicaria freyi					TBG_2329			47549087	Scaffold	2022-04-29	JALILQ01
GCA_027946365.1	ASM2794636v1	Kalmusia sp. IMI 367209		IMI 367209					Annotation submitted by Royal Botanic Gardens, Kew	42784582	Contig	2023-01-24	JAPEUQ01
GCA_030180035.1	ASM3018003v1	Pseudogymnoascus sp. SDFLT0511		SDFLT0511						33547661	Contig	2023-06-06	JASCQD01
GCA_024713855.1	ASM2471385v1	Morchella sp. 2016-41		2016-41						55250482	Contig	2022-08-19	JAMGZD01
GCA_022457085.1	ASM2245708v1	Geotrichum sp. CBS 16003		CBS 16003						52158747	Contig	2022-03-03	JAJNCF01
GCA_022570795.1	ASM2257079v1	Sphaerulina vaccinii		Sph-NS-01						38147698	Contig	2022-03-15	JAKUDP01
GCA_949357655.1	NO1_Genome_Updated	Parascedosporium putredinis							Annotation submitted by CNAP	39039452	Contig	2023-04-04	CASHTG01
GCA_963678735.1	2480 Metschnikowia agaves	Metschnikowia agaves								11164506	Contig	2023-12-11	CAVMBV01
GCA_024713675.1	ASM2471367v1	Morchella sp. 2018-W22B		2018-W22B						53850941	Contig	2022-08-19	JAMGYV01
GCA_004156025.2	ASM415602v2	Alternaria gaisen		FERA 650					Harrison Lab NIAB-EMR Release 2.01	34346950	Contig	2019-10-08	PDWZ02
GCA_024713755.1	ASM2471375v1	Morchella sp. 2018-W16		2018-W16						57030630	Contig	2022-08-19	JAMGYY01
GCA_025919635.1	ASM2591963v1	Fusarium zanthoxyli		FZ001						43391885	Contig	2022-10-31	JAOYUF01
GCA_036971675.1	ASM3697167v1	Orbilia ellipsospora		TWF694					Annotation submitted by Academia Sinica	39060477	Contig	2024-03-04	JAVHJO01
GCA_024713775.1	ASM2471377v1	Morchella sp. 2016-50		2016-50						55435790	Contig	2022-08-19	JAMGZA01
GCA_024713705.1	ASM2471370v1	Morchella sp. 2018-W38C		2018-W38C						55757330	Scaffold	2022-08-19	JAMJEX01
GCA_014858625.1	ASM1485862v1	Venturia carpophila					ZJHZ1-1-1			35867442	Contig	2020-10-07	JACTAK01
GCA_022828445.1	ASM2282844v1	Graphiopsis chlorocephala					PCp021			31758574	Contig	2022-04-06	JAIZZJ01
GCA_022836995.1	ASM2283699v1	Cercospora apii		QCYBC						34810611	Scaffold	2022-04-08	JALBYB01
GCA_016508695.1	ASM1650869v1	Hyphodiscus hymeniophilus		ATCC 34498					Annotation submitted by University of Toronto	35099609	Contig	2021-01-05	VNKQ01
GCA_003934905.1	ASM393490v1	Neonectria sp. DH2		DH2						45828622	Contig	2018-12-11	RQWH01
GCA_024713595.1	ASM2471359v1	Morchella rufobrunnea		2019-VR						57237362	Scaffold	2022-08-19	JAMGYT01
GCA_035771495.1	ASM3577149v1	Cladosporium oxysporum		AAAS_A1						34515558	Contig	2024-01-17	JAWNKS01
GCA_024713685.1	ASM2471368v1	Morchella sp. 2014-9hei		2014-9hei						53717313	Contig	2022-08-19	JAMGYW01
GCA_000825705.1	Allpaths-LG	[Torrubiella] hemipterigena							Annotation submitted by HKI JENA	28476206	Scaffold	2014-12-05	CDHN01
GCA_024043145.1	ASM2404314v1	Alternaria conjuncta		BMP 0040					Annotation submitted by Cornell University	36109959	Scaffold	2022-06-29	JAFVMB01
GCF_024043145.1	ASM2404314v1	Alternaria conjuncta		BMP 0040					Annotation submitted by Cornell University	36109959	Scaffold	2022-06-29	JAFVMB01
GCA_022058765.1	ASM2205876v1	Clavispora sp. NYNU 161120		NYNU 161120						12616965	Contig	2022-02-08	JAIUWH01
GCA_024713865.1	ASM2471386v1	Morchella sp. 2016-72		2016-72						53844257	Scaffold	2022-08-19	JAMJEY01
GCA_026122715.1	ASM2612271v1	Cladosporium colombiae		601						33550008	Contig	2022-11-10	JAKZFA01
GCA_024713785.1	ASM2471378v1	Morchella sp. 2018-W45		2018-W45						53632273	Contig	2022-08-19	JAMGYZ01
GCA_902141235.2	C_solani_1703	Clonostachys solani							Annotation submitted by SWEDISH UNIVERSITY OF AGRICULTURAL SCIENCES	54492124	Contig	2021-11-18	CABFOC02
GCA_023184595.1	ASM2318459v1	Umbilicaria grisea					TBG_2336			44429736	Scaffold	2022-04-29	JALILX01
GCA_013176395.1	ASM1317639v1	Venturia oleaginea		Yun35						46084733	Contig	2020-05-26	JABMLP01
GCA_024713625.1	ASM2471362v1	Morchella sp. 2018-W30		2018-W30						51969275	Scaffold	2022-08-19	JAMJEW01
GCA_016097115.2	SPRO_v1.1	Sporothrix protearum		CBS 116654						38728587	Contig	2021-09-29	JADMNH01
GCA_947670415.1	canVerA	Candida verbasci							Annotation submitted by Comenius University, Faculty of Mathematics, Physics and Informatics	12165646	Contig	2022-12-25	CANTUO01
GCA_032158265.1	ASM3215826v1	Bacidia rubella		M-0307710						33524925	Scaffold	2023-09-28	JAVTIF01
GCA_024713875.1	ASM2471387v1	Morchella sp. 2016-57		2016-57						50654656	Contig	2022-08-19	JAMGZE01
GCA_027946355.1	ASM2794635v1	Collariella sp. IMI 366227		IMI 366227					Annotation submitted by Royal Botanic Gardens, Kew	29308369	Contig	2023-01-24	JAPEUS01
GCA_030463185.1	ASM3046318v1	Cladosporium sp. BF-F					BF-F			29444740	Contig	2023-07-14	JAMRMS01
GCA_029581775.1	ASM2958177v1	[Candida] boleticola		CBS 7847						16089789	Contig	2023-04-04	JARGRU01
GCA_033682645.1	ASM3368264v1	Phoma sp. ATCC 74077		ATCC 74077						34960157	Contig	2023-11-15	JAWDJC01
GCA_024713715.1	ASM2471371v1	Morchella sp. 2018-W26		2018-W26						50855644	Contig	2022-08-19	JAMGYX01
GCA_024713795.1	ASM2471379v1	Morchella sp. 2015-shanyang		2015-shanyang						51418708	Contig	2022-08-19	JAMGZB01
GCA_037074925.1	T_max	Tetracladium maxilliforme		P2R61M						35471246	Scaffold	2024-03-08	JAYRCL01
GCA_010015515.1	ASM1001551v1	Trichoderma sp. TW21990_1		TW21990_1						36146003	Scaffold	2020-01-27	WXUD01
GCA_022344085.1	ASM2234408v1	Microsporum audouinii		IHEM 2214						23389792	Scaffold	2022-02-22	JAKELF01
GCA_020280125.1	ASM2028012v1	Kurtzmaniella quercitrusa var. comoensis (nom. nud.)		1112						12970464	Contig	2021-10-05	JAFIDI01
GCA_032629725.1	Phain_OT5	Gremmenia infestans		DSM 5139						36805277	Contig	2023-10-13	JAFEVB01
GCA_024713925.1	ASM2471392v1	Morchella sp. 2016-103		2016-103						50282765	Contig	2022-08-19	JAMGZF01
GCA_001651985.1	ASM165198v1	Fonsecaea erecta		CBS 125763					Annotation submitted by Federal University of Parana	34747975	Scaffold	2016-05-25	LVYI01
GCF_001651985.1	ASM165198v1	Fonsecaea erecta		CBS 125763					Annotation submitted by Federal University of Parana	34747975	Scaffold	2016-05-25	LVYI01
GCA_012274445.1	FAFU_KC1_1.0	Sclerotiophoma versabilis					KC1			41048747	Contig	2020-04-13	JAAROD01
GCA_030708105.1	ASM3070810v1	Trichoderma sp. CBMAI-0711		CBMAI-0711					Annotation submitted by University of Campinas	32448670	Contig	2023-08-10	JAJNCH01
GCA_024713845.1	ASM2471384v1	Morchella sp. 2015-Win8		2015-Win8						50377314	Contig	2022-08-19	JAMGZC01
GCA_023184635.1	ASM2318463v1	Umbilicaria deusta					TBG_2334			40883888	Scaffold	2022-04-29	JALILR01
GCA_024604135.1	ASM2460413v1	Cladosporium velox		C4						31985200	Contig	2022-08-05	JANIIF01
GCA_018257855.2	ASM1825785v2	Cladonia borealis		ANT050790					Annotation submitted by Sunchon National University	36013978	Contig	2023-07-12	JAFEKC02
GCA_017656835.1	ASM1765683v1	Fusarium gerlachii		CBS 119176						36573545	Scaffold	2021-04-02	JAGDUX01
GCA_033030345.1	ASM3303034v1	Verpa bohemica		No. 21108						44435453	Contig	2023-10-25	JAUFSE01
GCA_020747045.1	Phapo1	Phaeosphaeria sp. MPI-PUGE-AT-0046c		MPI-PUGE-AT-0046c					Annotation submitted by DOE Joint Genome Institute	34077024	Contig	2021-11-05	JAGTJN01
GCA_023619755.1	ASM2361975v1	Aspergillus sp. PB2407		PB2407						33528687	Scaffold	2022-06-01	JALZYO01
GCA_017140785.1	ASM1714078v1	Calonectria pauciramosa		CBS 138824						62546261	Scaffold	2021-03-02	JAACIZ01
GCA_027946455.1	ASM2794645v1	Neocucurbitaria cava		IMI 356814					Annotation submitted by Royal Botanic Gardens, Kew	34846001	Contig	2023-01-24	JAPEUY01
GCA_031010545.1	ASM3101054v1	Laburnicola sp. JP_R_19		JP_R_19						120554706	Contig	2023-08-30	VOIT01
GCA_902806505.1	Hl	Hypoxylon lienhwacheense		MFLUCC 14-1231						35785595	Contig	2020-04-25	CADCWW01
GCA_900465365.1	CvDDNA1.1	[Candida] vartiovaarae								11325083	Scaffold	2018-08-01	UICF01
GCA_023627725.1	ASM2362772v1	Preussia sp. D2B6		D2B6						33263517	Scaffold	2022-06-01	JAMAHV01
GCA_022315425.1	Pfur_oli_TBG_2151	Pseudevernia furfuracea		Pfur_oli_TBG_2151						38176621	Contig	2022-02-17	JAIUPT01
GCA_947297635.1	2786 Candida aaseri	[Candida] aaseri								10658036	Contig	2022-11-27	CAMYTP01
GCA_014839975.1	PcamFM013r2_polished	Penicillium camemberti		FM013=LCP06093						35346490	Contig	2020-09-30	JACXYV01
GCA_036971385.1	ASM3697138v1	Dactylellina parvicollis		XJ03-136-1						38325819	Scaffold	2024-03-04	JAJTUD01
GCA_023184615.1	ASM2318461v1	Umbilicaria subpolyphylla					TBG_2324			31820595	Scaffold	2022-04-29	JALILW01
GCA_002851755.1	ASM285175v1	Verticillium zaregamsianum		PD739						37131911	Scaffold	2018-01-03	NMXM01
GCA_004835665.1	ASM483566v1	Phoma sp. XZ068		XZ068						40199292	Scaffold	2019-04-24	RBKR01
GCA_030578495.1	ASM3057849v1	Starmerella sirachaensis		NBRC 108605, AB617909						9718260	Contig	2023-07-31	JAJMSC01
GCA_030579815.1	ASM3057981v1	Sugiyamaella smithiae		NRRL Y-17850						13157815	Scaffold	2023-07-31	JAKTRV01
GCA_009599575.1	MSU_Bj_1.1	Blumeriella jaapii		11BO-GW45						47419685	Contig	2019-11-05	VWND01
GCA_020975415.1	ASM2097541v1	Calonectria hawksworthii		S6964						64774276	Scaffold	2021-11-30	JAHXZK01
GCA_037042865.1	F181_NP_v1	Epicoccum sp. F181		F181		Palmerston North				33784524	Contig	2024-03-06	JAJSLS01
GCA_037042895.1	F165_NP_v1	Cladosporium sp. F165		F165		Palmerston North				33508472	Contig	2024-03-06	JAJSLR01
GCA_037042825.1	F190_NP_v1	Cladosporium sp. F190		F190		Palmerston North				33763380	Contig	2024-03-06	JAJSLT01
GCA_020280135.1	ASM2028013v1	Kurtzmaniella quercitrusa var. filamentosus (nom. nud.)		1120						13014903	Contig	2021-10-05	JAFIDH01
GCA_022343325.1	CAIQ.LN.1	Plenodomus biglobosus		CA1					Annotation submitted by Chinese Academy of Inspection and Quarantine	32631215	Contig	2022-02-18	JACTNT01
GCA_007113925.1	ASM711392v1	Teratosphaeria gauchensis		CMW 17545						30292139	Contig	2019-07-18	VCMR01
GCA_023619605.1	ASM2361960v1	Aspergillus sp. S2105		S2105						33789765	Scaffold	2022-06-01	JALZYV01
GCA_027569015.1	ASM2756901v1	Ascodesmis sphaerospora		NRRL 22422						49538203	Contig	2023-01-04	JAPPUR01
GCA_949129085.1	ZPS_3697_DN	Zygosaccharomyces pseudobailii								21347288	Contig	2023-04-08	CASBRY01
GCA_023184695.1	ASM2318469v1	Umbilicaria phaea					TBG_1112			35109966	Scaffold	2022-04-29	JALILT01
GCA_018410145.1	ASM1841014v1	Penicillium corylophilum		F5_1S_1A_F						28229796	Scaffold	2021-05-19	JAGUQL01
GCA_036971245.1	ASM3697124v1	Arthrobotrys sphaeroides		CGMCC 3.6774						40637404	Scaffold	2024-03-04	JAJTTW01
GCA_031081755.1	CAB1570	Debaryomycetaceae sp. CAB 1570		CAB 1570						10872003	Scaffold	2023-09-02	JARYSW01
GCA_017656915.1	ASM1765691v1	Fusarium cortaderiae		CBS 119183						37069992	Scaffold	2021-04-02	JAGDVB01
GCA_030568195.1	ASM3056819v1	Dipodascopsis uninucleata var. uninucleata		NRRL Y-17583						16321858	Scaffold	2023-07-31	JAJLTO01
GCA_017657105.1	ASM1765710v1	Fusarium acaciae-mearnsii		CBS 110255						36922138	Scaffold	2021-04-02	JAGDVL01
GCA_022814565.1	ASM2281456v1	Phaeophleospora eucalypticola		FKII-L3-CM-PAB3						31578827	Scaffold	2022-04-04	JAKLNG01
GCA_003800495.2	ASM380049v2	Penicillium sp. SPG-F1		SPG-F1						32629321	Contig	2023-04-26	PUXE02
GCA_026023875.1	ASM2602387v1	Bathelium mastoideum					Aptroot 80729/TS-e1944		Annotation submitted by University of Alberta	32740561	Contig	2022-11-07	JAPETJ01
GCA_022392925.1	ASM2239292v1	Ophiostoma tasmaniense					DAR52684			32519557	Scaffold	2022-02-25	JAKRGK01
GCA_036971435.1	ASM3697143v1	Dactylellina sp. 'tibetensis'		SQ 2179						36440381	Scaffold	2024-03-04	JAKDFA01
GCA_005356805.1	ASM535680v1	Cercospora cf. sigesbeckiae		PP_2012_071						33720866	Scaffold	2019-05-14	RQIF01
GCA_022814545.1	ASM2281454v1	Alternaria angustiovoidea		FKII-L2-CM-DRAB1						34215686	Scaffold	2022-04-04	JAKLNJ01
GCA_015881745.1	ASM1588174v1	Pseudopestalotiopsis theae		CYF27						50412300	Contig	2020-12-07	JACWGD01
GCA_023625895.1	ASM2362589v1	Talaromyces sp. F3606		PYS2103						29457564	Scaffold	2022-06-01	JAMAFZ01
GCA_900518995.1	YAYA0	Yarrowia yakushimensis		CBS 10253						18838649	Scaffold	2018-08-22	ULGW01
GCA_027946495.1	ASM2794649v1	Didymella sp. IMI 355093		IMI 355093					Annotation submitted by Royal Botanic Gardens, Kew	31528740	Contig	2023-01-24	JAPEUZ01
GCA_002851775.1	ASM285177v1	Verticillium isaacii		PD618						35690893	Scaffold	2018-01-03	NMXN01
GCA_023621325.1	ASM2362132v1	Alternaria sp. S3601		S3601						34244541	Scaffold	2022-06-01	JALZWS01
GCA_031081905.1	ZIM2471	Debaryomycetaceae sp. ZIM 2471		ZIM 2471						10876439	Scaffold	2023-09-02	JARYTF01
GCA_009805495.1	ASM980549v1	Pezicula neosporulosa		M44						54311847	Scaffold	2019-12-27	SELE01
GCA_026023805.1	ASM2602380v1	Candelina mexicana					AC779/DDE408		Annotation submitted by University of Alberta	33725466	Contig	2022-11-07	JAPETP01
GCA_019775315.1	ASM1977531v1	Aspergillus sp. JS3-R5		JS3-R5						25520748	Scaffold	2021-08-26	JACWGA01
GCA_023626335.1	ASM2362633v1	Talaromyces sp. PG4302		PT3601						34770149	Scaffold	2022-06-01	JAMAGT01
GCA_007644065.1	ASM764406v1	Margaritispora aquatica		NNIBRFG339						42517347	Scaffold	2019-07-30	VJWN01
GCA_023626255.1	ASM2362625v1	Talaromyces sp. PX2802		PF30-10						34594379	Scaffold	2022-06-01	JAMAGO01
GCA_013248845.1	ASM1324884v1	Passalora sequoiae					9LC2			31768716	Contig	2020-06-02	WSQC01
